signal_date,ticker,name,light,rebound,base_q,exit_reason,exit_price,ret,days_held,entry
2024-01-10,1538.TW,正峰,yellow,0.9616988172609376,0.48410543999194966,賣壓比例,38.254024505615234,-0.0014736589035980524,16,38.08734130859375
2024-01-10,5269.TW,祥碩,yellow,0.7997219201643364,0.4193616647650873,賣壓比例,1834.2200536853059,-0.021515823494919074,66,1863.4119361757607
2024-01-10,9958.TW,世紀鋼,yellow,1.0,0.44544907360182473,賣壓比例,204.53820939813497,0.11288350986621612,42,182.83014461826096
2024-01-11,3661.TW,世芯-KY,yellow,1.0,0.0,停損,3384.1083691406247,-0.09914832531555615,36,3732.3283541065302
2024-01-11,6219.TWO,富旺,yellow,0.7498687098603798,0.6533560733155236,賣壓比例,37.03509575099886,0.23526281370968208,90,29.84023316969961
2024-01-11,6451.TW,訊芯-KY,yellow,1.0,0.4564764647926156,賣壓比例,184.04717511809272,0.07845231009142908,47,169.73787974552386
2024-01-31,1418.TW,東華,yellow,1.0,0.6324221142126153,停損,28.299999237060547,-0.07339534163567304,6,30.350000381469727
2024-01-31,1535.TW,中宇,yellow,1.0,0.6719776005582528,賣壓比例,63.60799094139489,0.1278054212448511,66,56.10875205055505
2024-01-31,1560.TW,中砂,yellow,1.0,0.5999783133479932,賣壓比例,268.0237681744004,0.2572374633521036,119,212.1973148740571
2024-01-31,1570.TWO,力肯,yellow,1.0,0.7681446099123695,賣壓比例,26.615370917969287,0.2179692773118588,43,21.747795129057316
2024-01-31,1713.TW,國化,yellow,1.0,0.5245136189488493,停損,34.717966640476206,-0.1626121889563452,4,41.172212851208165
2024-01-31,1799.TWO,易威,yellow,1.0,0.31019471491456363,賣壓比例,175.0,2.6861330035122575,150,47.400001525878906
2024-01-31,2431.TW,聯昌,yellow,0.5807128352224953,0.8768757456552925,賣壓比例,13.100000381469727,0.02564610852062956,33,12.699999809265137
2024-01-31,2465.TW,麗臺,yellow,0.8891610768203583,0.4670647246512015,賣壓比例,128.0,0.667352614379085,26,76.5
2024-01-31,2535.TW,達欣工,yellow,1.0,0.7896502972134913,賣壓比例,46.43893767740125,0.16442078478505198,63,39.68221567278625
2024-01-31,3114.TWO,好德,yellow,0.6630864299325018,0.8454424941995693,提前停損,24.794296414277976,-0.08381602540123542,24,26.890870724224175
2024-01-31,3265.TWO,台星科,yellow,1.0,0.2220435142740822,賣壓比例,113.07614482532848,0.02707183033240259,41,109.47212219238281
2024-01-31,3354.TWO,律勝,yellow,1.0,0.7746538346041032,停損,25.560379513607757,-0.09166424540478965,1,27.959721954894782
2024-01-31,3360.TWO,尚立,yellow,1.0,0.8736899143643457,停損,19.100000381469727,-0.1681306569912779,3,22.799999237060547
2024-01-31,4529.TWO,淳紳,yellow,0.5646766148499666,0.6943443565799039,停損,15.399999618530273,-0.20792252708286926,2,19.299999237060547
2024-01-31,4908.TWO,前鼎,yellow,1.0,0.0,停損,97.55031043407963,-0.0906714149636487,23,106.59155713330519
2024-01-31,6425.TWO,易發,yellow,0.8459720234557537,0.7459832209312252,賣壓比例,70.7296102019681,0.586383235473343,70,44.421639133127016
2024-01-31,6442.TW,光聖,yellow,1.0,0.48351846814031396,賣壓比例,363.43207299068746,3.0190534014893946,155,90.295849797588
2024-01-31,8027.TWO,鈦昇,yellow,0.9705308935855625,0.7022770870464652,賣壓比例,92.01741037351017,0.016249436535755855,31,90.0278457107741
2024-02-01,1438.TW,三地開發,yellow,1.0,0.8640111880556599,賣壓比例,42.25,-0.045622727272727294,20,44.0
